No.of threads, Time
1, 289985.000000
2, 237773.000000
3, 138911.000000
4, 249453.000000
5, 66219.000000
6, 186478.000000
7, 158384.000000
8, 131078.000000
9, 93269.000000
10, 99858.000000
11, 115760.000000
12, 124216.000000
13, 156579.000000
14, 151144.000000
15, 148146.000000
16, 183306.000000
17, 186797.000000
18, 183652.000000
19, 207299.000000
20, 205101.000000
21, 211174.000000
22, 233370.000000
23, 226554.000000
24, 237014.000000
25, 250588.000000
26, 263340.000000
27, 271094.000000
28, 279853.000000
29, 288085.000000
30, 284415.000000
31, 301228.000000
32, 348801.000000
33, 350434.000000
34, 451104.000000
35, 451199.000000
36, 610991.000000
37, 623020.000000
38, 652744.000000
39, 712574.000000
40, 741443.000000
41, 721454.000000
42, 721626.000000
43, 731803.000000
44, 713540.000000
45, 765807.000000
46, 657771.000000
47, 586223.000000
48, 663031.000000
49, 612746.000000
50, 540050.000000
51, 595562.000000
52, 587566.000000
53, 600052.000000
54, 590230.000000
55, 616953.000000
56, 626422.000000
57, 612928.000000
58, 612859.000000
59, 782282.000000
60, 1032239.000000
61, 997514.000000
62, 1011090.000000
63, 1116373.000000
64, 1115495.000000
65, 1117588.000000
66, 1723586.000000
67, 880437.000000
68, 1225540.000000
69, 813558.000000
70, 783143.000000
71, 818660.000000
72, 789387.000000
73, 774932.000000
74, 897059.000000
75, 818709.000000
76, 778959.000000
77, 781912.000000
78, 818714.000000
79, 824473.000000
80, 892834.000000
81, 845515.000000
82, 1099787.000000
83, 1686436.000000
84, 1107803.000000
85, 1606407.000000
86, 1263949.000000
87, 1181968.000000
88, 1022845.000000
89, 1000187.000000
90, 1028240.000000
91, 1136777.000000
92, 1189363.000000
93, 1056217.000000
94, 1125135.000000
95, 1199789.000000
96, 1014809.000000
97, 1070414.000000
98, 1086940.000000
99, 1108446.000000
100, 1282678.000000
101, 1303079.000000
102, 1168480.000000
103, 1190601.000000
104, 1300627.000000
105, 1367435.000000
106, 1444874.000000
107, 1728209.000000
108, 1439062.000000
109, 1299543.000000
110, 1238623.000000
111, 1367008.000000
112, 1319588.000000
113, 1276510.000000
114, 1649243.000000
115, 1567310.000000
116, 1391366.000000
117, 1551370.000000
118, 1641208.000000
119, 1530023.000000
120, 1692763.000000
121, 1642890.000000
122, 1419832.000000
123, 1369164.000000
124, 1420342.000000
125, 1592783.000000
126, 1568719.000000
127, 2419680.000000
128, 3880391.000000
129, 1667683.000000
130, 1432121.000000
131, 1382824.000000
132, 1546233.000000
133, 1590851.000000
134, 1629397.000000
135, 1813005.000000
136, 2223766.000000
137, 1881650.000000
138, 1807021.000000
139, 1680498.000000
140, 1661229.000000
141, 1800784.000000
142, 1940208.000000
143, 1824938.000000
144, 1742931.000000
145, 1938915.000000
146, 1896419.000000
147, 2426251.000000
148, 1790470.000000
149, 1826085.000000
150, 2220453.000000
151, 1789486.000000
152, 1777586.000000
153, 1910757.000000
154, 2308755.000000
155, 2382386.000000
156, 2139733.000000
157, 1896008.000000
158, 1905493.000000
159, 2414528.000000
160, 1889020.000000
161, 1982824.000000
162, 2004937.000000
163, 2035428.000000
164, 3012150.000000
165, 2201831.000000
166, 2126016.000000
167, 2506880.000000
168, 2017696.000000
169, 2056426.000000
170, 2687491.000000
171, 3516283.000000
172, 2216884.000000
173, 2038762.000000
174, 2151996.000000
175, 2474313.000000
176, 2041268.000000
177, 2181150.000000
178, 2764730.000000
179, 2798405.000000
180, 2253472.000000
181, 3456387.000000
182, 2595952.000000
183, 2125493.000000
184, 2285885.000000
185, 2384628.000000
186, 2596490.000000
187, 2835613.000000
188, 2578986.000000
189, 2415271.000000
190, 2462217.000000
191, 2265330.000000
192, 2422152.000000
193, 2275342.000000
194, 2516665.000000
195, 2825977.000000
196, 3262335.000000
197, 3701694.000000
198, 3790138.000000
199, 3823803.000000
200, 3993068.000000
